So tin chi,Ty le thuc hanh,Ky thuat,Phan tich,Thiet ke,Ky nang nhom,Diem chuyen can,Diem tong ket,Chuyen nganh
2,TB,A,D,D,B,TB,cao,CNPM
3,thap,A,C,C,D,cao,cao,HTTT
4,cao,B,B,C,D,thap,cao,CNPM
4,thap,A,C,C,A,thap,thap,CNPM
3,thap,B,B,C,C,cao,TB,HTTT
3,TB,A,B,D,C,TB,thap,CNPM
3,thap,B,A,C,A,thap,TB,HTTT
2,TB,B,D,C,A,TB,cao,CNPM
2,cao,D,B,C,C,cao,cao,CNPM
2,TB,B,D,D,C,TB,TB,CNPM
3,thap,C,D,C,D,cao,cao,HTTT
2,cao,C,D,C,C,thap,TB,CNPM
2,thap,A,B,C,D,TB,cao,HTTT
3,TB,B,D,C,B,TB,thap,CNPM
4,thap,A,D,D,B,thap,TB,HTTT
4,TB,A,C,D,B,thap,thap,CNPM
3,cao,B,C,D,A,thap,cao,CNPM
3,TB,D,D,D,D,cao,TB,CNPM
2,TB,A,D,C,A,cao,cao,CNPM
3,TB,D,D,B,C,TB,cao,CNPM
4,TB,B,B,D,C,cao,cao,CNPM
3,thap,B,D,B,C,cao,thap,HTTT
3,cao,C,A,D,D,cao,thap,CNPM
2,TB,A,D,D,B,thap,thap,CNPM
4,TB,A,D,C,A,cao,cao,CNPM
3,cao,A,C,B,A,cao,cao,CNPM
4,TB,B,C,C,A,thap,thap,CNPM
3,TB,D,A,D,D,TB,thap,CNPM
2,thap,D,C,B,A,cao,thap,HTTT
3,TB,B,B,D,A,cao,TB,CNPM
3,thap,C,D,B,D,thap,thap,HTTT
2,TB,B,B,C,B,cao,TB,CNPM
3,cao,A,C,C,A,cao,cao,CNPM
3,thap,A,D,B,B,thap,thap,CNPM
2,TB,A,D,C,B,cao,TB,CNPM
2,TB,B,B,C,D,cao,thap,CNPM
4,TB,A,B,B,B,cao,TB,CNPM
3,TB,D,B,B,C,TB,thap,CNPM
2,TB,B,C,C,C,TB,TB,CNPM
2,TB,D,C,A,A,cao,TB,CNPM
2,cao,A,B,B,C,TB,cao,CNPM
2,cao,B,A,C,C,thap,TB,CNPM
2,TB,A,C,D,B,TB,cao,CNPM
3,TB,B,B,D,C,cao,TB,CNPM
3,thap,A,A,C,B,TB,thap,HTTT
4,cao,A,D,D,A,thap,TB,CNPM
4,TB,A,B,C,A,TB,thap,CNPM
4,cao,B,B,C,B,cao,thap,CNPM
3,TB,A,B,C,A,cao,cao,CNPM
1,TB,B,D,D,C,TB,thap,CNPM
