So tin chi,Ty le thuc hanh,Ky thuat,Phan tich,Thiet ke,Ky nang nhom,Diem chuyen can,Diem tong ket,Chuyen nganh
2,60,A,D,D,B,9,9.0,CNPM
3,28,A,C,C,D,10,9.0,HTTT
4,86,B,B,C,D,5,9.5,CNPM
4,29,A,C,C,A,5,5.0,CNPM
3,3,B,B,C,C,10,8.0,HTTT
3,51,A,B,D,C,8,4.0,CNPM
3,15,B,A,C,A,6,8.0,HTTT
2,41,B,D,C,A,8,9.0,CNPM
2,99,D,B,C,C,10,9.0,CNPM
2,49,B,D,D,C,8,8.5,CNPM
3,26,C,D,C,D,10,9.0,HTTT
2,66,C,D,C,C,7,7.0,CNPM
2,8,A,B,C,D,8,9.0,HTTT
3,56,B,D,C,B,8,5.5,CNPM
4,15,A,D,D,B,6,8.5,HTTT
4,54,A,C,D,B,6,5.0,CNPM
3,69,B,C,D,A,7,10.0,CNPM
3,47,D,D,D,D,10,7.0,CNPM
2,57,A,D,C,A,10,9.0,CNPM
3,44,D,D,B,C,9,9.0,CNPM
4,55,B,B,D,C,10,10.0,CNPM
3,22,B,D,B,C,10,5.0,HTTT
3,65,C,A,D,D,10,4.0,CNPM
2,53,A,D,D,B,7,4.0,CNPM
4,55,A,D,C,A,10,9.0,CNPM
3,78,A,C,B,A,10,10.0,CNPM
4,54,B,C,C,A,6,5.0,CNPM
3,54,D,A,D,D,9,6.5,CNPM
2,6,D,C,B,A,10,6.0,HTTT
3,50,B,B,D,A,10,7.0,CNPM
3,39,C,D,B,D,6,6.0,HTTT
2,56,B,B,C,B,10,8.0,CNPM
3,100,A,C,C,A,10,9.5,CNPM
3,20,A,D,B,B,6,6.5,CNPM
2,57,A,D,C,B,10,8.0,CNPM
2,44,B,B,C,D,10,5.0,CNPM
4,59,A,B,B,B,10,8.5,CNPM
3,58,D,B,B,C,9,5.0,CNPM
2,60,B,C,C,C,8,8.0,CNPM
2,59,D,C,A,A,10,8.5,CNPM
2,83,A,B,B,C,8,9.5,CNPM
2,92,B,A,C,C,7,8.5,CNPM
2,45,A,C,D,B,9,10.0,CNPM
3,56,B,B,D,C,10,7.0,CNPM
3,10,A,A,C,B,8,4.0,HTTT
4,64,A,D,D,A,6,7.0,CNPM
4,58,A,B,C,A,9,4.5,CNPM
4,89,B,B,C,B,10,5.0,CNPM
3,56,A,B,C,A,10,9.5,CNPM
1,42,B,D,D,C,8,6.5,CNPM
1,98,B,D,D,C,8,7.0,CNPM
2,30,B,A,C,B,10,5.5,HTTT
3,58,B,C,C,D,7,4.0,CNPM
2,17,A,C,B,B,9,5.5,HTTT
2,91,A,A,D,B,10,7.0,CNPM
2,51,C,C,C,C,10,9.5,CNPM
3,54,A,C,A,A,7,5.0,CNPM
3,100,B,B,C,D,10,5.0,CNPM
3,45,B,D,B,C,7,10.0,HTTT
4,56,A,A,B,C,7,8.0,HTTT
1,51,B,C,C,A,10,9.5,CNPM
3,83,A,A,D,C,8,4.0,CNPM
3,47,A,C,D,C,10,9.0,CNPM
3,58,B,B,D,B,8,10.0,CNPM
3,58,A,A,B,D,5,8.5,HTTT
3,48,A,A,C,D,5,9.5,HTTT
3,43,B,C,C,B,10,7.5,CNPM
2,52,C,D,C,A,8,4.0,CNPM
2,46,B,B,D,B,5,10.0,HTTT
4,44,A,D,D,D,10,10.0,CNPM
2,42,A,B,B,B,7,4.0,CNPM
3,48,D,B,D,A,10,5.0,CNPM
4,53,B,A,C,D,5,7.0,HTTT
1,41,B,C,B,A,10,8.0,CNPM
2,85,A,B,C,B,10,8.5,CNPM
1,47,C,D,D,B,7,8.5,HTTT
2,3,B,C,C,B,5,7.5,HTTT
2,43,A,B,C,D,10,7.0,CNPM
3,52,D,C,C,C,5,8.5,HTTT
2,14,B,A,D,A,9,7.0,HTTT
4,59,C,C,D,A,7,7.0,HTTT
4,53,B,C,C,A,7,7.0,HTTT
3,61,B,C,D,D,7,5.0,CNPM
2,60,D,A,B,B,10,7.0,CNPM
3,71,A,B,D,A,10,9.5,CNPM
2,79,B,C,C,B,10,9.0,CNPM
3,4,B,A,B,B,10,7.0,HTTT
2,46,B,D,C,D,8,7.5,CNPM
2,20,B,B,D,C,9,6.0,HTTT
2,57,A,C,D,B,8,9.5,CNPM
3,60,C,D,D,C,5,4.0,CNPM
3,74,B,A,D,C,8,6.0,CNPM
2,57,B,C,C,C,10,8.0,CNPM
3,33,B,B,C,A,7,6.5,CNPM
4,47,A,D,C,A,8,7.5,CNPM
3,64,D,A,C,B,10,8.5,CNPM
2,49,A,B,C,C,6,9.5,HTTT
4,57,B,D,D,C,10,6.5,CNPM
3,8,B,D,C,A,9,8.0,HTTT
3,37,A,C,D,C,6,10.0,HTTT
3,3,B,D,C,B,5,7.5,HTTT
4,51,A,B,D,B,9,6.5,CNPM
4,42,C,A,C,D,9,9.5,CNPM
2,56,B,B,D,A,8,5.0,CNPM
4,51,C,B,C,C,8,9.5,CNPM
4,55,B,D,C,A,10,9.0,CNPM
2,59,A,B,C,A,10,9.5,CNPM
4,61,A,A,D,A,10,5.0,CNPM
3,40,A,B,C,D,10,10.0,CNPM
3,55,B,D,C,D,5,7.0,HTTT
4,19,B,B,B,C,7,10.0,HTTT
1,54,C,D,C,A,6,9.5,HTTT
3,44,B,D,C,D,10,4.0,CNPM
2,57,A,C,D,B,10,6.0,CNPM
1,51,B,C,C,D,9,4.0,CNPM
2,43,A,D,D,D,9,9.0,CNPM
2,70,A,A,C,A,8,7.5,CNPM
2,47,B,B,B,B,10,8.0,CNPM
3,53,B,C,B,A,5,9.5,HTTT
4,59,B,B,C,C,8,6.5,CNPM
1,76,B,A,C,B,9,7.5,CNPM
2,44,B,B,C,B,6,7.0,HTTT
3,12,C,A,C,B,9,9.5,HTTT
2,43,C,B,C,C,9,5.5,CNPM
1,43,B,B,D,A,9,8.0,CNPM
4,38,A,B,A,A,10,7.5,HTTT
4,40,C,A,D,C,10,9.5,CNPM
3,58,A,B,B,C,9,8.0,CNPM
3,77,C,D,D,A,10,7.5,CNPM
4,48,B,B,A,B,10,4.5,CNPM
2,42,B,A,D,B,10,6.5,CNPM
2,40,D,C,D,C,6,10.0,HTTT
4,45,D,C,B,A,5,8.5,HTTT
2,54,C,C,D,A,9,7.0,CNPM
2,54,B,B,C,D,10,7.0,CNPM
3,49,B,D,B,C,10,9.5,CNPM
3,25,B,D,D,C,7,9.5,HTTT
3,86,B,C,B,C,9,7.0,CNPM
3,51,A,A,D,A,7,5.0,CNPM
3,29,A,A,C,C,10,7.5,HTTT
2,5,B,B,C,D,5,6.5,CNPM
2,58,A,B,C,B,8,9.0,CNPM
2,64,A,D,D,C,7,8.0,CNPM
3,37,C,A,D,C,10,4.0,HTTT
4,61,B,B,C,D,10,6.0,CNPM
2,45,B,D,C,D,5,7.5,HTTT
4,32,D,B,C,A,8,4.0,HTTT
2,59,D,A,D,C,7,10.0,HTTT
2,45,A,C,C,D,9,9.5,CNPM
2,50,A,A,D,A,6,8.0,HTTT
4,56,A,B,B,D,6,8.0,HTTT
2,53,D,C,D,D,10,5.0,CNPM
2,55,A,C,D,A,9,6.5,CNPM
4,73,B,A,C,B,5,7.5,CNPM
2,23,A,D,D,C,10,7.0,HTTT
3,56,B,B,B,C,10,8.5,CNPM
4,46,A,C,D,C,10,7.0,CNPM
2,54,B,C,C,D,10,10.0,CNPM
2,16,B,B,C,B,6,9.0,HTTT
2,98,A,D,D,C,6,9.5,CNPM
4,53,B,B,C,C,9,4.5,CNPM
3,59,D,A,C,B,9,9.0,CNPM
4,53,B,D,B,B,10,7.0,CNPM
3,78,B,B,D,A,7,8.0,CNPM
2,50,B,B,D,A,9,10.0,CNPM
2,59,B,A,C,A,7,7.0,HTTT
4,33,C,C,A,A,8,5.0,HTTT
3,16,A,A,C,A,5,7.5,HTTT
3,57,A,D,C,C,5,7.5,HTTT
3,82,A,A,C,C,10,10.0,CNPM
4,45,A,B,C,A,5,9.5,HTTT
3,43,A,C,C,B,8,7.0,CNPM
1,48,B,B,D,B,10,9.5,CNPM
3,52,C,B,C,D,10,7.0,CNPM
4,56,A,D,D,B,10,8.0,CNPM
2,47,C,B,D,C,10,7.5,CNPM
3,66,B,A,C,B,5,6.5,CNPM
1,58,A,B,D,A,10,9.5,CNPM
2,6,A,B,B,B,10,9.0,HTTT
2,11,A,D,D,D,10,8.0,HTTT
2,16,B,C,C,B,6,6.5,CNPM
4,47,B,D,A,C,10,4.5,CNPM
2,74,A,A,D,A,10,8.0,CNPM
4,13,C,D,C,A,8,9.0,HTTT
3,47,C,C,B,D,10,4.0,CNPM
4,46,B,D,B,D,5,10.0,HTTT
2,57,D,C,C,C,10,7.0,CNPM
4,44,B,A,A,A,8,7.0,CNPM
2,52,A,B,D,D,9,5.5,CNPM
3,48,B,D,C,A,8,9.5,CNPM
2,11,A,C,C,D,8,7.0,HTTT
3,11,C,A,C,C,10,9.5,HTTT
3,41,B,C,D,A,9,9.5,CNPM
4,60,A,B,C,A,9,8.5,CNPM
2,91,A,C,B,D,7,8.5,CNPM
4,55,B,D,C,C,10,4.5,CNPM
3,45,B,D,D,A,9,5.0,CNPM
2,43,C,D,D,C,10,4.5,CNPM
4,87,C,A,C,C,5,9.0,CNPM
4,75,B,C,D,A,5,9.5,CNPM
4,80,B,D,C,C,8,8.5,CNPM
2,75,D,C,B,C,8,8.5,CNPM
4,60,B,B,D,D,9,8.0,CNPM
4,58,A,C,D,C,8,5.5,CNPM
2,52,D,B,C,D,5,8.5,HTTT
3,100,B,A,C,C,6,5.0,CNPM
4,53,D,C,B,D,10,7.0,CNPM
4,57,A,B,D,D,8,7.5,CNPM
3,43,A,C,D,C,8,7.5,CNPM
1,100,A,D,C,D,10,6.0,CNPM
3,78,A,D,C,A,10,9.5,CNPM
4,46,C,D,D,A,9,8.5,CNPM
2,51,A,A,D,B,9,6.5,CNPM
2,69,B,C,C,D,5,9.0,CNPM
2,50,B,B,C,C,6,7.5,HTTT
4,42,B,D,C,B,6,9.5,HTTT
4,70,B,A,D,D,9,9.5,CNPM
2,74,A,C,C,C,5,9.5,CNPM
2,52,B,C,C,B,8,7.0,CNPM
3,50,B,A,C,D,9,6.5,CNPM
3,42,B,A,C,A,8,8.5,CNPM
4,35,A,D,B,C,9,4.0,HTTT
2,56,A,B,D,D,10,6.5,CNPM
3,90,B,C,D,D,5,9.0,CNPM
3,56,A,B,C,C,6,4.5,CNPM
4,31,A,B,D,D,8,9.0,HTTT
2,79,A,C,C,B,9,7.0,CNPM
2,65,B,B,D,B,10,7.5,CNPM
3,78,C,C,C,B,10,6.0,CNPM
3,14,A,C,D,B,5,8.0,HTTT
4,49,B,A,C,B,6,4.0,CNPM
1,55,A,B,C,C,8,9.0,CNPM
3,51,A,D,B,A,8,9.5,CNPM
3,58,A,C,C,A,7,7.5,HTTT
3,56,B,B,C,B,8,7.5,CNPM
4,41,B,C,A,D,10,5.5,CNPM
4,86,B,C,C,C,10,4.0,CNPM
4,53,B,C,C,A,8,10.0,CNPM
4,40,A,A,B,C,9,8.5,CNPM
2,48,A,A,C,B,10,8.5,CNPM
2,1,B,B,C,A,6,9.0,HTTT
3,4,D,C,D,A,10,9.5,HTTT
4,84,A,B,C,B,10,8.0,CNPM
2,7,D,C,C,A,10,4.5,HTTT
3,54,B,B,C,B,10,8.5,CNPM
3,52,B,B,C,C,8,5.0,CNPM
2,60,A,D,C,A,10,7.0,CNPM
4,17,B,A,C,A,6,6.0,CNPM
3,52,A,C,C,B,10,8.5,CNPM
4,58,A,B,C,D,7,6.5,CNPM
3,58,A,D,C,A,10,7.5,CNPM
3,50,B,D,D,C,10,8.0,CNPM
3,64,A,A,C,A,10,7.0,CNPM
2,54,D,A,C,D,10,9.5,CNPM
3,45,A,A,C,A,10,8.5,CNPM
3,40,A,D,D,D,6,9.0,HTTT
3,58,A,D,B,D,7,10.0,HTTT
2,53,D,B,C,A,9,9.0,CNPM
2,44,A,B,D,C,9,9.0,CNPM
4,55,A,C,D,C,10,4.0,CNPM
1,55,C,C,D,B,8,7.5,CNPM
4,66,B,A,C,C,10,8.0,CNPM
2,1,B,D,D,C,7,7.5,HTTT
3,56,A,A,B,D,9,4.5,CNPM
2,54,B,C,C,D,10,6.0,CNPM
3,58,B,D,D,A,8,4.0,CNPM
3,21,A,D,C,D,10,5.5,HTTT
4,53,A,C,D,A,7,8.5,HTTT
1,7,D,A,D,D,10,5.5,HTTT
2,50,B,C,D,A,9,9.0,CNPM
