Số tín chỉ,Tổng tiết,Lý thuyết,Thực hành,Kỹ thuật,Phân tích,Thiết kế,Kỹ năng nhóm
3,90,36,0,,,,
3,90,36,0,,,,
2,60,20,4,,,,
3,90,36,0,,,,
4,120,42,8,,,,
2,60,24,0,,,,
2,60,20,4,,,,
2,60,24,0,,,,
4,120,36,4,,,,
2,60,24,2,,,,
3,90,30,8,,,,
3,90,36,0,,,,
3,90,36,0,,,,
2,60,24,0,,,,
3,90,32,4,,,,
3,45,36,0,,,,
3,45,36,0,,,,
1,30,6,0,,,,
3,90,32,4,,,,
3,45,30,6,,,,
3,90,34,3,,,,
3,45,30,6,,,,
3,90,34,3,,,,
1,15,6,,,,,
3,90,32,2,,,,
3,45,4,,,,,
3,45,36,0,,,,
3,90,36,0,,,,
3,45,36,,,,,
3,135,30,6,,,,
1,15,6,,,,,
